Filename,Document Name,Most Favored Nation,Most Favored Nation-Answer,Competitive Restriction Exception,Competitive Restriction Exception-Answer,Non-Compete,Non-Compete-Answer,Exclusivity,Exclusivity-Answer,No-Solicit Of Customers,No-Solicit Of Customers-Answer,No-Solicit Of Employees,No-Solicit Of Employees-Answer,Non-Disparagement,Non-Disparagement-Answer,Rofr/Rofo/Rofn,Rofr/Rofo/Rofn-Answer
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,['OUTSOURCING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,['Outsourcing Contract on Development of Miaoli Royal Resort Hotel'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,['Outsourcing Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement.pdf,['OUTSOURCING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,['COLOGUARDÂ® PROMOTION AGREEMENT'],[],No,[],No,[],No,"['Subject to compliance by Pfizer with the terms of this Section 3.2(d), during the Term, Exact agrees (A) not to enter into any new binding arrangement with any media vendor for Advertising of the Product without the written consent of Pfizer, which consent shall not be unreasonably withheld, (B) not to meet with any advertising agency or media vendor to discuss any Advertising proposals for content development and creative direction of the Product, without providing Pfizer with a reasonable opportunity for a representative of Pfizer present and participate and (C) to promptly inform Pfizer if it enters into any arrangement with any advertising agency with respect to the Product.', 'Commencing on the Launch Date, Exact and its Affiliates hereby grant to Pfizer and its Affiliates, on an exclusive basis for the Co-Promote Field (except as to Exact and its Affiliates), and Pfizer accepts, the right and obligation to Promote and Detail the Product in the Territory during the Term jointly with Exact, in accordance with the terms and conditions of this Agreement, all Applicable Laws and the applicable Annual Marketing Plan.']",Yes,[],No,[],No,[],No,"['Promptly upon receipt of notice from Pfizer, Exact and Pfizer shall engage in exclusive good faith negotiations to enter into a definitive written agreement for the Ex-US Commercial Rights.', 'If Pfizer and Exact are unable to reach agreement on the terms of such Product rights within forty-five (45) days of the commencement of negotiations, Exact shall be free to enter into negotiations and consummate an agreement with any Third Party regarding such Ex-US Commercial Rights; provided that the economic terms of such agreement shall be no more favorable to such Third Party than those last offered to Pfizer.', 'Promptly upon receipt of notice from Pfizer, Exact and Pfizer shall engage in exclusive good faith negotiations to enter into a definitive written agreement for the OB/Gyn Commercial Rights.', 'If Pfizer and Exact are unable to reach agreement on the terms of such Product rights within forty-five (45) days of the commencement of negotiations, then Exact shall be free to enter into negotiations and consummate an agreement with any Third Party regarding such OB/Gyn Commercial Rights; provided that the economic terms of such agreement shall be no more favorable to such Third Party than those last offered to Pfizer.', 'During the Term, if Exact (i) enters a formal process authorized or directed by its board of directors or CEO to seek and enter into an arrangement or (ii) intends to agree to a term sheet or seeks to sign a letter of intent or similar arrangement to grant an exclusive commercial license to a Third Party solely to promote or sell the Product outside the Territory (""Ex-US Commercial Rights""), Exact shall first notify Pfizer of such intent (a ""Ex-US Commercial Rights Transfer Notice"") and Pfizer shall have thirty (30) days thereafter to notify Exact of its desire to obtain the Ex-US Commercial Rights that are the subject of the Ex-US Commercial Rights Transfer Notice.', 'During the Term, if Exact desires to grant an exclusive commercial license to a Third Party solely to Promote or sell the Product in the OB/Gyn Field in the Territory (the ""OB/Gyn Commercial Rights""), Exact shall first notify Pfizer of such intent (a ""OB/Gyn Commercial Rights Transfer Notice"") and Pfizer shall have thirty (30) days thereafter to notify Exact of its desire to obtain the OB/Gyn Commercial Rights that are the subject of the OB/Gyn Commercial Rights Transfer Notice.']",Yes
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,['CO-PROMOTION AGREEMENT'],[],No,"['Notwithstanding anything to the contrary, in no event shall the restrictions set forth in this Section 2.3.2 apply to [***].', 'Notwithstanding the foregoing, this Section 2.3.1(a) shall not apply to any products marketed, promoted, detailed, offered for sale, or sold by any business (or any portion thereof), other Person, or group of Persons, [***].']",Yes,"['[***], neither Valeant nor its Affiliates shall, directly or indirectly, [***] in the Territory other than the Product; provided that if the Agreement is terminated by Dova pursuant to [***], then any Tail Period shall be immediately terminated if either Valeant or any of its Affiliates, directly or indirectly, [***] in the Territory other than the Product during such Tail Period.']",Yes,"['During the Term, subject to the terms and conditions of this Agreement, Dova hereby grants to Valeant the right, on a co-exclusive basis (solely with Dova and its Affiliates), to Detail and promote the Product in the Specialty in the Territory in the Field, and to conduct the Valeant Activities and the activities of the institutional account management team (pursuant to and subject to the terms of Section 4.1.5) for the Product in the Territory in the Field in accordance with the terms and conditions of this Agreement.']",Yes,[],No,"[""[***], neither Valeant nor Dova (nor any of their respective Affiliates) shall directly or indirectly solicit for hire or employee as an employee, consultant or otherwise any of the other Party's professional personnel who have had direct involvement with the JSC, with the Valeant Activities under this Agreement (which, in the case of Valeant, includes the Field Force Personnel) or with Dova's commercialization activities for the Product, without the other Party's prior written consent.""]",Yes,[],No,[],No
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,['PROMOTION AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,['PROMOTION AGREEMENT'],[],No,"['During the Term, MMT shall not Commercialize in any manner any Competing Product in the Field in any country in the Territory; provided, however, the Parties hereby acknowledge that the restrictions set forth in this Section 2.3 shall not apply to any Affiliates of MMT (including Pfizer).']",Yes,"['During the Term, MMT shall not Commercialize in any manner any Competing Product in the Field in any country in the Territory; provided, however, the Parties hereby acknowledge that the restrictions set forth in this Section 2.3 shall not apply to any Affiliates of MMT (including Pfizer).']",Yes,"['As of the Effective Date, there are no rights with respect to the Product or the SIGA Trademarks in the Territory granted by SIGA, in each case, to any Person or entity other than MMT;', 'Subject to the terms and conditions of this Agreement, SIGA hereby grants to MMT an exclusive right and license, with the right to grant sublicenses as permitted under Section 2.1(b), under the SIGA Intellectual Property solely to Promote the Product in the Field in the Territory.', 'The license granted by SIGA to MMT under this Section 2.1(a) will be exclusive even as to SIGA with respect to rights to Promote the Product in the Field in the Territory, except as set forth in Section 2.4 below.']",Yes,[],No,[],No,[],No,"['Notwithstanding the aforementioned requirement, before Promoter destroys any Safety Reports and associated source documents, or training records, it will notify SIGA of its intention to do so and afford SIGA the opportunity to retain such records if it so wishes.']",Yes
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,['RESELLER AGREEMENT'],[],No,[],No,[],No,"['During the Term hereof and for a period of six (6) months following the termination of this Agreement or the discontinuation of any of the Company Products, (i) the Reseller shall have the exclusive right to commission for any Registered Referrals, (ii) the Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller, and (iii) without limitation to the foregoing, the Company shall not, directly or through other parties (whether agents, representatives, intermediaries, resellers or other parties), market, promote, sell, distribute, solicit or procure orders to any existing or prospective customer of the Reseller.']",Yes,[],No,[],No,[],No,[],No
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,['WALABOT-HOME RESELLER AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,['LICENSE AND RESELLER AGREEMENT'],[],No,"['For clarity, a Competitive Transaction shall not include an agreement for use, integration or interfacing, or co-marketing, of the Ehave Companion Solution with other services, solutions, devices, goods or products, where such other services, solutions, devices, goods or products do not contain the same or similar functionality of the Ehave Companion Solution, but provides for a complementary solution.']",Yes,"['For so long as the appointment set out in Section 2(a) is exclusive, CHT shall not enter into an agreement (a ""Competitive Transaction"") with any other Person related to the license, sub-license, sale, resale or provide service, solutions, goods or products, that are substantially similar to or competitive with the Ehave Companion Solution.']",Yes,"['Notwithstanding anything to the contrary contained herein, the exclusive appointment and license set out in Sections 2(a) and 2(b) shall become non-exclusive if: (i) at any time during the Term hereof, CHT breaches Section 2(d) as determined by arbitration in accordance with Section 19(c) or by a final non-appealable judgment of a court of competent jurisdiction; or (ii) at any time after November 1, 2010 CHT fails to achieve annual revenues of $500,000.', 'Subject to Section 2(e), the grant set out in Clause 2(b)(i) is exclusive such that Ehave shall not license any other Person to, nor may Ehave itself, license, sub-license the use of, or provide services similar to, the Ehave Companion Solution within the Field of Use anywhere in the Territory.', 'Subject to Section 2(e), the foregoing appointment is exclusive such that Ehave shall not appoint any other Person to, nor may Ehave itself, sell or resell the use of the Ehave Companion Solution within the Field of Use anywhere in the Territory.']",Yes,[],No,[],No,[],No,[],No
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.pdf,['FORM OF SUB-RESELLER AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,['CHANNEL PARTNER RESELLER AGREEMENT'],[],No,[],No,[],No,"['Channel Partner accepts iPass as the exclusive provider to Channel Partner for all services of the nature of the Services. In no event may Channel Partner resell or otherwise provide the Service to any third party for purposes of further ""down channel"" resale of the Services, absent iPass\' notice and consent.']",Yes,[],No,[],No,[],No,[],No
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,['SPONSORSHIP AND SERVICES AGREEMENT'],[],No,"['Notwithstanding the foregoing, this Section 2.2 shall not be deemed to apply to agreements executed prior to the date of this Agreement between the HOF Entities and Johnson Controls, Inc. or any of its affiliates.']",Yes,[],No,"['Provided that Constellation is not then in breach of its obligations pursuant to this Agreement, including without limitation Section 2.1 hereof, and provided that Constellation has available for purchase a product or service which meets the needs of the HOF Entities at competitive market pricing, (a) neither of the HOF Entities shall purchase, at any time during the Term, any commodity electricity or gas from any person or entity other than Constellation and its affiliates and (b) in the event and to the extent mutually agreed by the Parties, neither of the HOF Entities shall grant or award to any company designated by Constellation (and mutually agreeable to the HOF Entities) any project which the Parties mutually agree shall not be granted or awarded to such company']",Yes,[],No,[],No,"['No Party will make, issue or release any statement which results in any defamation or disparagement of the Village, the City of Canton, the other Party, or any team, person, performer or organization involved in events at the Village.', ""Each of the HOF Entities or Constellation may terminate this Agreement at any time without liability if association with another Party could, in such Party's reasonable opinion, materially damage its reputation or image or in the event a Party breaches Section 3.3 hereof, which breach is not cured within sixty (60).""]",Yes,[],No
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.pdf,['DISTRIBUTION AND SERVICES AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.pdf,['TRANSITION SERVICES AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.pdf,"['TRANSFER AND SERVICING AGREEMENT, d']",[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.pdf,['JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,['EVENT SPONSORSHIP AGREEMENT'],[],No,[],No,[],No,"['Allied shall not endorse, or permit the marketing of any other company whose principal business is as an e-commerce provider at or in connection with the Arena.', ""Without limitation of the preceding sentence or any other provision of this Agreement, Allied shall identify and name Newegg as a Founding Partner, and as the exclusive Technology E-Commerce (or E-tail) Partner, of the Arena and in all of Allied's marketing materials in connection with the Arena where reasonably practicable."", ""In all of Allied's actions and publications (in all media and formats) in connection with the marketing and conducting of the Events, where possible and appropriate, Allied shall where reasonably practicable communicate that Newegg is the exclusive sponsor of the Arena for the technology e-commerce and online retailer categories.""]",Yes,[],No,[],No,"[""Each Party covenants that it shall not make, publish or communicate to any person or entity in any online or other public forum any defamatory, misleading or disparaging remarks, comments or statements concerning (a) the other Party or any of its affiliates, or any of such Party's or its affiliates' respective employees, officers, directors, agents, officials, equity holders, investors or sponsors, or (b) any software, products or services of the other Party or any affiliate."", 'Without limiting the preceding sentence, Allied agrees not to use the Newegg Marks in any advertising materials or conduct any activities in a manner that may be seen to unreasonably modify, alter, detract from or impair the integrity, character, or dignity of the Newegg Marks or reflect unfavorably upon Newegg or Newegg Products.']",Yes,[],No
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.pdf,['SPONSORSHIP AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,['ODM SUPPLY AGREEMENT'],[],No,['The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.'],Yes,"['The Manufacturer agrees that the Customer has the right under this agreement to consider, source, promote, market and sell other product outside of the products listed in Schedule A of this agreement in line with the following assumptions: That they are non-competing products to the range of products or those products listed in schedule A of this agreement.']",Yes,"['The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.', 'The Manufacturer covenants not to sell any product listed in this agreement, or product name (as listed in schedule A of this agreement) to any other party without prior written consent of the Customer.', 'The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.', 'The Manufacturer agrees to give the Customer exclusive rights to the marketing, promotion and sales of the new products should the Customer decide to take on the new products.']",Yes,[],No,[],No,[],No,['The Manufacturer agrees to offer the Customer the first right of refusal to purchase the intellectual property for the products listed in Schedule A of this agreement based upon agreed terms.'],Yes
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,['Corporate Sponsorship Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.pdf,['SUPPLY CONTRACT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,['MASTER SUPPLY AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,['GLOBAL MASTER SUPPLY AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.pdf,['FORM OF TRADEMARK LICENSE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.pdf,['FORM OF TRADEMARK LICENSE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,['TRADEMARK LICENSE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,['TRADEMARK LICENSE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.pdf,['TRADEMARK LICENSE AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,['GAS TRANSPORTATION AGREEMENT'],[],No,[],No,[],No,"['AMI/MEA Agreement"" shall mean that certain Amended and Restated Area of Mutual Interest and Midstream Exclusivity Agreement dated April 14, 2015 among PennTex North Louisiana, LLC, Customer, PennTex NLA Holdings, LLC and MRD WHR LA Midstream LLC, as such agreement may be amended, supplemented or otherwise modified from time to time.<omitted>During the Term, subject to the terms of the AMI/MEA Agreement, Customer dedicates and commits to this Agreement, and shall deliver or cause to be delivered to the Transportation System for transportation hereunder, all of Customer\'s owned or controlled residue Gas delivered from any of the Plants.']",Yes,[],No,[],No,[],No,[],No
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.pdf,['TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,['TRANSPORTATION SERVICES AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf,['Road Transportation Agreement'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,"['CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT']",[],No,[],No,"['""ACSI Competitor"" means, collectively, such persons and entities as the Parties may agree upon from time to time.  ACSI may update any agreed-upon list of ACSI Competitors no more frequently than once per quarter by written notice, provided that: (a) the number of entities specified on such list shall at no time [***]; (b) any entities added to such list must be [***]; and (c) no addition of any ACSI Competitor to such list shall require Company to breach any contractual or legal obligation to such ACSI Competitor by which Company is bound as of the date of such addition.']",Yes,"[""The Parties will issue a joint press release promptly upon concluding Advertising. this Agreement, which press release shall be subject to the Party's mutual approval, which shall in any event state that Company is the exclusive provider on the ACSI Site of premium spoken-word audio product for download or streaming over the world wide web."", 'During the Term, [***], ACSI will not offer or sell through the ACSI Site, or authorize any third party to sell through the ACSI Site, any Exclusive Spoken-Word Audio Products; [***].']",Yes,[],No,[],No,"['In the event that: (a) Company at any time engages in<omitted>other behavior that is materially harming the goodwill or reputation of ACSI or its Affiliates or the ACSI Site;<omitted>the same shall be deemed a material breach of this Agreement which is not susceptible to cure, and ACSI shall be entitled to terminate this Agreement upon written notice to Company.']",Yes,[],No
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,['CO-BRANDING AND ADVERTISING AGREEMENT'],[],No,[],No,"[""i-Escrow shall not run banner advertisements on the Co-Branded Site for any of 2TheMart's competitors.""]",Yes,[],No,[],No,[],No,[],No,[],No
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],[],No,"['For the avoidance of doubt, the parties acknowledge that the foregoing restriction applies only to persistent sponsorship placement as judged by Sponsor at its discretion, and not to run-of-site banner advertisements or other rotating promotional placements.']",Yes,[],No,"['During the Term, Snap will not grant any third party any right to sponsor any products or services in the Exclusive Category on or through the Snap Web Site.', 'For the avoidance of doubt, the parties acknowledge that the foregoing restriction applies only to persistent sponsorship placement as judged by Sponsor at its discretion, and not to run-of-site banner advertisements or other rotating promotional placements.']",Yes,[],No,[],No,[],No,"['In the event of termination or expiration of this Agreement for other than a material breach of this Agreement by Sponsor, upon notice from Sponsor delivered to Snap at least forty-five (45) days prior to such expiration or termination, Snap shall negotiate in good faith an agreement providing Sponsor with sponsorship rights similar to those described herein on terms and conditions to be mutually agreed upon by the parties. In the event that an agreement<omitted>between the parties is not executed within thirty (30) days following delivery, of such notice to Snap, Snap shall be free thereafter to enter into an such an agreement with any third party.']",Yes
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,['CO-BRANDING CONTENT AGREEMENT'],[],No,"['If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site.']",Yes,"['Neither party shall permit advertising on the Co-Branded Site from an entity which is a competitor to the other party.', 'During the Term of this Agreement and for a period of six (6) months thereafter, MediaLinx shall not use or publicly disclose the data collected from users of the Co-Branded Site if such use is for the purpose of providing health information, advertisements, or products that compete with those that reside on the Co-Branded Site.']",Yes,"['HCI shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other Canadian portal web site, being a Web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products,\n\nSource: HEALTHCENTRAL COM, S-1/A, 11/8/1999\n\n\n\n\n\ntools and services to a broad base of Canadian end users.', 'During the Term of the Agreement, and subject to the following requirements respecting Canadian content levels as set out in paragraphs 3(f), (g) and (h), HCI shall be the exclusive health content partner in the health section of the Sympatico web site, provided however, that nothing contained herein shall prevent MediaLinx from entering into an agreement with other parties for: i) a health based web directory; or ii) other health related content whose content does not compete with the content contained on the Co-Branded Site; which in no event shall receive no more than one fifth (1/5th) of the promotion and which shall constitute no more than one fifth (1/5th) of the total health related content which resides on the home page of the Sympatico Health section.', 'If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site.']",Yes,[],No,[],No,[],No,[],No
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],[],No,[],No,"['Beginning on the Launch Date and continuing during the Term, VerticalNet shall not place advertising relating to the commercial printing entities listed on Exhibit ""A,"" or other such entities subsequently identified by Impresse, on the VerticalNet Area of the Co-Branded Site.']",Yes,[],No,[],No,[],No,[],No,[],No
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],[],No,[],No,[],No,"['The Insurance Center shall be hosted solely by ebix and contained in an About Wrapper and ebix shall, during the Term, provide site maintenance services relative to the Insurance Center substantially as provided for the ebix Site from time to time, subject to the uptime requirements as set forth in Section 13.4  [TERMINATION AND SURVIVAL].', 'During the Term, ebix shall be the exclusive integrated online insurance provider in the Channels and Guide Sites listed in Section 3.1  [DEVELOPMENT, OPERATION AND ADMINISTRATIO...] above. [**]']",Yes,[],No,[],No,[],No,[],No
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],[],No,"['Notwithstanding the foregoing, solely for the period from the                Effective Date of this<omitted>Agreement to the Launch Date for the Co-Branded Application, as             hereinafter defined, Application Provider may use Payment Eligible             User Data to solicit User traffic to the co-branded area currently             in place at http://coupons.excite.com pursuant to the Sponsorship             Agreement effective March 5, 1999 in force between the parties.']",Yes,"[""Within three      business days of receiving Application Provider's written update,      Excite@Home will remove any advertising from Application Provider's listed      competitors displayed on the Co-Branded Pages."", 'Excite@Home will not serve advertising on the Co-Branded Application for      any ""Application Provider Named Competitor,"" as specified in EXHIBIT E.', 'Excite@Home shall not promote competing services in such contact                or otherwise discourage Program Members from continuing to use                the e-centives service as provided directly by e-centives.', 'Application Provider will not serve advertising on the Co-Branded      Application for any ""Excite@Home Named Competitor,"" as specified in      EXHIBIT E.', ""Within three business days of      receiving Excite@Home's written update, Application Provider will remove      any advertising from Excite@Home's listed competitors displayed on the      Co-Branded Pages."", 'Excite@Home shall not offer any Excite-branded or Excite-co-branded         service during the Term of this Agreement that is substantially similar         in functionally to the Co-Branded Application.', 'Competitors. Not more than once per quarter, Excite@Home may update the      list of Excite@Home Named Competitors, but may not add to the list any      company with which e-centives has a material existing relationship as of      the Effective Date of this Agreement.', 'Furthermore, Excite@Home may not             sell, disclose, transfer, rent, or license Shopping Category Data or             Superset Data to Data Restricted Named Companies as specified in             EXHIBIT I.', ""Subject to the terms and conditions of this Agreement,           Application Provider hereby grants to Excite@Home a royalty-free,           non-exclusive, worldwide license to use, reproduce, distribute,           transmit and publicly display the e-centives Content in accordance           with this Agreement and to sub-license the Application Content to           Excite@Home's wholly-owned subsidiaries or to joint ventures in which           Excite@Home participates for the sole purpose of using, reproducing,           distributing, transmitting and publicly displaying the e-centives           Content in accordance with this Agreement, provided that no such           sublicensing shall be to Application Provider Named Competitors."", 'Not more than once per quarter, Application Provider may             update the list of Application Provider Data Restricted Named             Companies shown in EXHIBIT I, so long as such list shall not exceed             twenty-five (25) companies.', ""In no event may either party sell, disclose, transfer, rent, or             license Payment-Eligible User Data to the other party's Named             Competitors as listed in EXHIBIT E."", 'Excite@Home may designate no more than 10 companies as Named      Competitors.']",Yes,[],No,"[""In the event that the Agreement is terminated pursuant to Section           16.a.v. due to e-centives' acquisition by an Excite@Home Named           Competitor, or by an entity controlling or controlled by an           Excite@Home Named Competitor, e-centives or its assigns or designates           may not contact any Users for whom User Data has been provided           pursuant to this Agreement, excluding those that have opted out in           accordance with Section 5(a) of Exhibit D."", 'Application Provider may not use Payment-Eligible User Data to                solicit User traffic to www.e-centives.com or any other                co-branded version of www.e-centives.com with the intent of                driving such Users away from using the Co-Branded Application.', 'Application Provider will not solicit any Excite@Home Member on             behalf of any Excite@Home Named Competitor during the Term of this             Agreement or thereafter.']",Yes,[],No,[],No,[],No
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],[],No,[],No,[],No,[],No,[],No,[],No,[],No,[],No
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],[],No,[],No,"[""VerticalNet agrees that during the term of this Agreement, it shall not enter into an agreement with Futurestep, Inc. to provide promotional opportunities to Futurestep throughout all of the VerticalNet Online Communities, nor enter into any agreement with Futurestep, Inc. for the joint marketing of each other's Sites or services.""]",Yes,[],No,[],No,[],No,[],No,[],No
