Filename,Document Name,Revenue/Profit Sharing,Revenue/Profit Sharing-Answer,Price Restrictions,Price Restrictions-Answer,Minimum Commitment,Minimum Commitment-Answer,Volume Restriction,Volume Restriction-Answer,Audit Rights,Audit Rights-Answer
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,['MASTER JOINT DEVELOPMENT AGREEMENT'],[],No,[],No,[],No,[],No,[],No
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,['OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT'],[],No,[],No,[],No,[],No,[],No
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,['REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT'],"['In lieu of any other royalty, the parties shall share Cash Sales from the sale of such independently developed T&B Products that are generated directly and independently by LEA as follows: [â%] to LEA [â%] to T&B', 'The parties acknowledge that the development and fulfillment of such new Products may require substantial time and effort by the T&B Personality to fulfill such new Products such that the Marketing Royalty payable pursuant to V. B., above, is inadequate to compensate T&B Personality; therefore, in lieu of any other royalty, the parties shall share Cash Sales from the sale of such new Products as follows: [â%] to LEA [â%] to T&B', ""For monthly Cash Sales above [$â]the Base Royalty paid to T&B by LEA shall be [â%] of the LEA's Cash Sales."", ""For monthly Cash Sales above [$â] and up to [$â], the Base Royalty paid to T&B by LEA shall be [â%] of the LEA's Cash Sales"", 'In consideration of the License granted and other good and valuable consideration provided by T&B to LEA, LEA shall pay to T&B a base royalty (""Base Royalty"") in the amount of [â%] of LEA\'s monthly Cash Sales for Cash Sales of up to [$â].', ""For monthly Cash Sales above [$â] and up to [$â] the Base Royalty paid to T&B by LEA shall be [â%] of the LEA's Cash Sales"", ""For monthly Cash Sales above [$â] and up to [$â] , the Base Royalty paid to T&B by LEA shall be [â%]of the LEA's Cash Sales"", 'Marketing Royalty: In consideration of T&B Personality providing commercially reasonable, regular and periodic marketing support to LEA substantially in accordance with Schedule 2 attached to this Agreement and incorporated herein by reference, which LEA agrees to request and accept from T&B consistently during the Term, LEA will pay T&M a royalty in addition to the Base Royalty (""Marketing Royalty"") which shall be comprised of and calculated at [â%] of LEA\'s Cash Sales made from the sale of Products at live events and [â%] of LEA\'s Cash Sales made from the sale of Products at on-line webinars']",Yes,[],No,"['To facilitate the effective launch of the Business, T&B shall assist LEA by providing the following: o Approved Images Â§ Minimum 5 Hero image/poses (studio or in the field) of Tarek Â· Full length, 3/4 or straight, waist up and/or chest up o Hi-resolution: 8""x10"" or 5""x 7"" 300 dpi flattened file Â§ File Format: .jpg, .psd, .tiff, .png. o Approved Videos Â§ Minimum 3 Live Workshop Promotion Â· 1 30 second clip Â· 1 60 second clip Â· 1 3-minute video Â§ Minimum 3 Online Workshop Promotion by topic Â· 1 30 second clip Â· 1 60 second clip Â· 1 3-minute video Â§ Minimum 5 Nurturing/Event Reminder- Live and Online (10) Â· 1 Thank you for registering Â· 1 Workshop reminder/ content Â· 1 Motivational- Why/Purpose Â· 1 Call to action- Show up. Take action by doing. o What they\'ll learn/expectations Â· 1 Thank you for pursing education- post event', 'In consideration of the exclusivity rights granted to LEA, commencing with the seventh (7t h) month of the Term and continuing each year of the Term thereafter, the minimum Royalties payable to T&B each month shall be the greater of the (i) applicable monthly Base Royalty and Marketing Royalty or (ii) $200,000.', 'Further, during the Term, except as otherwise provided herein, neither T&B nor any of its Affiliates may (1) offer to sell or sell any product or service that is the same or similar to the Products in the Exclusive Field of Use, or (2) contact, solicit, or direct any person or entity to contact or solicit, any of the customers of (or customers set forth in the Customer Data) for the purpose of providing any products or services that are the same or similar to the Products; provided, however, that T&B, in its sole and absolute discretion, shall have the right to terminate this Agreement, including all rights and licenses granted to LEA herein, if and as of the date that any monthly Royalty Payment (as defined in 9.3, below) payable to T&B does not exceed the Minimum Guaranteed Royalty for six (6) consecutive months.', 'Approved Copy Â§ Minimum 3 topics to post Â· 1-2 paragraphs of content o Event promotion, Motivational and Real Estate Content o Approved Videos Â§ Minimum 3 Videos Â· 60 seconds to 3 minutes + o Studio or in the field of Tarek Â· Event promotion, Motivational and Real Estate Content', 'Approved Images Â§ Minimum 5 Photos Â· Studio or in the field of Tarek o File Format: .jpg, .psd, .tiff, .png. o Approved Copy Â§ Minimum 3 topics to post Â· 1-2 paragraphs of content o Event promotion, Motivational and Real Estate Content o Approved Videos Â§ Minimum 3 Videos Â· 60 seconds to 3 minutes + o Studio or in the field of Tarek Â· Event promotion, Motivational and Real Estate Content o Personal Post Â§ Minimum 1 social post on all platforms inviting people to events, products or services']",Yes,"[""T&B Personality shall make six (6) public appearances each year of the Term, including an appearance at LEA's annual Hall of Fame Symposium, for the purpose of promoting the Business, which appearances may include autograph sessions, book signings, appearances at LEA's workshops, seminars and symposiums with each such session not to exceed four (4) hours"", 'LEA shall compensate T&B Personality the sum of [$â] plus first-class air and hotel accommodations for up to three (3) additional persons for each such appearance.', 'The parties may also conduct up to 10 ""big stage"" live events each year to market Products. LEA may request T&B Personality to appear at such events for not more than eight (8) hours each, subject to T&B Personality\'s availability']",Yes,"['LEA shall keep such written records respecting Cash Sales as T&B may reasonably request so that Royalty Payments payable hereunder may be accurately determined and shall permit such records to be examined by T&B or its authorized representative upon reasonable prior written notice at any reasonable time during regular business hours to verify the records, reports and payments herein provided.']",Yes
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,['BUSINESS DEVELOPMENT AGREEMENT'],"['The cash commission shall be an amount equal to six percent (6.0%) of the Net Sales Price of the invoice price of Licensed Products sold by Eutectix or its permitted sublicensees and for which payment was actually received by Eutectix (the ""Liquidmetal Commission"").', 'In consideration of the license of Liquidmetal Technical Information and the Licensed Equipment granted by Liquidmetal, Eutectix agrees to pay Liquidmetal a cash royalty based on a percentage of the invoice price of any Licensed Products (but not including Liquidmetal Products) sold by Eutectix or its permitted sublicensees and for which payment was actually received by Eutectix.', 'New Alloy Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties.', 'New Process Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties.', 'The cash royalty shall be an amount equal to six percent (6.0%) of the Net Sales Price of the invoice price of any Licensed Products and for which payment was actually received by Eutectix (the ""Liquidmetal Royalty"").', 'Provided that such referred customer is not already a Eutectix customer, Eutectix may accept such customer referral, and in that case hereby agrees to pay Liquidmetal a cash commission based on a percentage of the invoice price of Licensed Products sold by Eutectix or its permitted sublicensees and for which payment was actually received by Eutectix, in addition to the Liquidmetal Royalty.', 'New Application Technologies that have been developed by cooperation of the Parties shall be jointly and equally owned by the Parties, and any royalties for the use thereof by third parties shall be shared equitably between the Parties.']",Yes,[],No,[],No,[],No,"[""The Licensed Equipment: (a) is and shall remain the sole property of Liquidmetal, (b) shall be made available for reasonable inspection upon at least three (3) weeks prior written request by Liquidmetal, such inspection not to occur more than once per year during the Term, to be conducted with minimal business disruption to Eutectix and to be conducted at Liquidmetal's sole cost and expense and"", ""Upon reasonable prior notice to Eutectix and at Liquidmetal's expense, no more than once per year, during the Term of this Agreement and for one (1) year following the expiration or termination of this Agreement, Liquidmetal or its designee shall have the right from time to time to confirm and validate: (a) that Eutectix has complied with the pricing provisions of this Agreement; (b) Eutectix's financial condition, successorship planning, and ability to continue operations; (c) that Eutectix's performance is consistent with the Agreement; (d) that Eutectix has complied with Article 10 (Compliance) of this Agreement. Upon reasonable and prior notice to Eutectix, Eutectix will also provide Liquidmetal or its designee from time to time with reasonable access to Eutectix's facility and the facilities of its sub-suppliers and other subcontractors to permit Liquidmetal to inspect the production, handling, and storage of Liquidmetal Products and the Licensed Equipment and inventories of raw materials and components. Eutectix shall maintain an orderly storage bookkeeping so that the respective inventory of the Licensed Equipment, Liquidmetal Products and property of Liquidmetal can be immediately recognized; and (e) such confirmation and validation to be conducted with minimal disruption to Eutectix's business operations and all information disclosed during such exercise to be deemed to be Confidential Information.""]",Yes
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,['License and Development Agreement'],"['For the Technology Transfer and as applicable for the License granted by NLS to Eurofarma under article 2.1(iii) hereabove, Eurofarma shall pay to NLS royalty payments (the ""Royalties"") on the annual Net Sales in the Territory according to the following table:\n\nAnnual Net Sales in the Territory in USD:\n\nRoyalty in Percent of Net Sales under 10 million 7% 10 million to < 20 million 8% 20 million to < 30 million 9% 30 million and above 10%']",Yes,[],No,[],No,[],No,"['Such records shall be retained by the Licensee for ten (10) years following a given reporting period.', 'Subject to a written advance notice of thirty (30) calendar days, all relevant records supporting the preparation of the Reports shall be made available during normal business hours for inspection at the expense of Licensor by Licensor or by a selected representative of Licensor for the sole purpose of verifying the Reports and the accuracy of the payments made or due to Licensor under this Agreement.']",Yes
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,['CO-DEVELOPMENT AGREEMENT'],"['PB shall issue to SFJ on the Effective Date a warrant (""Warrant"") exercisable for two million two hundred thousand (2,200,000) shares of PB common stock (""Stock"") at an exercise price per share (""Exercise Price"") equal to the greater of (a) five dollars ($5.00) or (b) 120% of the volume weighted average closing price of the Stock over the thirty (30) consecutive trading days ending on the last trading day immediately preceding the Effective Date and exercisable as follows: (i) one million one hundred thousand (1,100,000)\n\nSource: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020\n\n\n\n\n\nshares may be exercised at any time after the Effective Date provided that any such shares may be transferred by SFJ to its Affiliates but may not be resold by SFJ or its Affiliates until one (1) year after the Effective Date and (ii) one million one hundred thousand (1,100,000) shares may be exercised at any time after the date of Successful Phase 3 Interim Analysis']",Yes,[],No,"[""In connection with the Development, manufacture and Commercialization of the Product and fulfillment of PB's obligations hereunder, PB shall spend at least an amount equal to the amount of funding paid by SFJ to PB pursuant to this Section 4.2.""]",Yes,[],No,"['PB shall (a) provide SFJ with quarterly unaudited financial statements and annual audited financial statements (the ""PB Financial Statements"") promptly following the availability thereof (and no later than the date filed with the SEC) and provide to SFJ on a quarterly basis concurrently with the applicable PB Financial Statements [***], (b) promptly notify SFJ of achieving the Successful Phase 3 Interim Analysis and the Phase 3 Success Criteria, and (c) on or prior to the end of each [***] during the Term [***].', ""At least [***] during the Term, upon SFJ's request, Executive Officers of PB shall meet with Executive Officers of SFJ to review and discuss PB's financial condition and operations. [***]."", 'During the Development Term, PB will conduct quality oversight inspections and audits of the manufacturing facilities for the Product in accordance with its internal policies and PB will provide SFJ with copies of such audit reports.']",Yes
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,"['COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT']","['If during the Royalty Term for a Product in a country, one or more Generic Products of such Product are sold in such country, and during any Calendar Quarter following the Calendar Quarter in which such Generic Product(s) are first sold in such country (the ""Launch Quarter"") Net Sales of such Product in such country during any Calendar Quarter following the Launch Quarter are less than the Designated Percentage (as defined below) of average Net Sales occurring during the [***] immediately preceding the Launch Quarter (such average Net Sales during such Calendar Quarters, the ""Base Net Sales""), then the royalty rates provided in Section 9.3(a) for such Product shall be reduced in such country by the ""Applicable Reduction Percentage"" set forth below for such Calendar Quarter and for all future Calendar Quarters, unless and until the Generic Product is no longer sold or the Net Sales increase above the Base Net Sales in a Calendar Quarter.', 'If Sanofi enters into an agreement with a Third Party in order to obtain a license or other right to a Third Party Right that is reasonably necessary to manufacture, use or sell a Product (or the SHP2 Inhibitor contained therein) in a country pursuant to Section 10.7, Sanofi shall be entitled to deduct from the royalties payable under Section 9.3(a) with respect to such Product in such country in a particular Calendar Quarter [***] paid by Sanofi to such Third Party in respect of such agreement for such Calendar Quarter, in each case to the extent reasonably allocable to such Third Party Right and such Product and country; provided that in no event shall the royalties payable for such Product and country in any Calendar Quarter be reduced to less than [***]% of the amount otherwise due under Section 9.3(a) (the ""Royalty Floor"").', 'Subject to the other terms of this Section 9.3, during the Royalty Term, Sanofi shall make quarterly royalty payments to RevMed on aggregate Net Sales of each Product sold outside the United States during a Calendar Year at the applicable royalty rates as set forth below. For clarity, royalties shall only be payable once on any sale of Product under this Agreement.\n\nAggregate Net Sales of each Product outside the United States during a Calendar Year Royalty Rate Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year less than or equal to $[***] [***]% Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year greater than $[***] and less than or equal to $[***] [***]% Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year greater than $[***] and less than $[***] [***]% Portion of aggregate Net Sales of each Product outside the United States during a Calendar Year greater than $[***] [***]% 45', ""In any country in which there is no Valid Claim and no Regulatory Exclusivity for such Product, at the time of sale of such Product in such country during the applicable Royalty Term, Sanofi's obligation to pay royalties under Section 9.3(a) on Net Sales of such Product in such country shall be reduced to [***]% of the rates otherwise payable under such section."", 'If Net Sales of the applicable Product in a country in a Calendar Quarter following the Launch Quarter for such country are:\n\nA. lower than or equal to [***]%, but more than [***]%, of Base Net Sales of the applicable Product in such country, then the Applicable Reduction Percentage shall be [***]%; or\n\nB. lower than or equal to [***]% of Base Net Sales of the applicable Product in such country, then the Applicable Reduction Percentage shall be [***]%.', 'No later than the Initiation of the first Registrational Clinical Trial for the first Product, Sanofi and RevMed shall enter into a profit/loss share agreement (the ""Profit/Loss Share Agreement"") pursuant to which the Parties shall equally share the Net Profit and Net Loss (as defined in Exhibit M of the Correspondence) applicable with respect to Commercialization of Products (but, for clarity, not any costs of Development) of Products in the U.S.']",Yes,[],No,[],No,"[""At RevMed's reasonable request, for a period not to exceed [***] following the effective date of termination, Sanofi shall provide RevMed with assistance up to a total of [***] with any inquiries and correspondence with Regulatory Authorities relating to any such Termination Product."", ""Sanofi shall, at RevMed's request, for a period not to exceed [***] following the effective date of termination, provide reasonable technical assistance up to a total of [***] and, to the extent not already provided to RevMed, transfer copies of (including when available, in electronic format) all Sanofi Sole Program Know-How to RevMed or its designee, including without limitation: [***], in each case to the extent such materials are exclusively related to the Termination Product."", 'Furthermore, Sanofi shall within [***] after the effective date of such termination, transfer to RevMed all files and documents relating to the prosecution, defense or enforcement of the RevMed Licensed Patents or Joint Program Patents and provide reasonable assistance for a period not to exceed [***] following the effective date of termination, up to a total of [***], in the transfer of the prosecution, defense and enforcement responsibilities to RevMed, including by executing any documents reasonable necessary therefor.']",Yes,"['The auditing Party shall bear the full cost of such audit unless such audit reveals an underpayment by the audited Party that resulted from a discrepancy in the financial report provided by the audited Party for the audited period, which underpayment was more than [***] percent of the amount set forth in such report, in which case the audited Party shall reimburse the auditing Party for the costs for such audit.', 'Upon reasonable prior notice of the other Party, but in any event at least [***] prior notice, each Party shall and shall cause its Affiliates and its and their Sublicensees to permit an independent auditor of international prominence, selected by the auditing Party and reasonably acceptable to the audited Party, to audit the books and records maintained pursuant to Section 9.8 for the sole purpose of verifying for the auditing Party the accuracy of the financial reports furnished by the audited Party pursuant to this Agreement or of any payments made, or required to be made, by or to the audited Party pursuant to this Agreement or any Ancillary Agreement. Such audit shall not occur more than [***] in a given Calendar Year, unless for cause, and shall not concern books and records relating to a period more than [***] preceding the current Calendar Year.', 'In addition, Sanofi shall have the right to conduct customary reviews and audits of RevMed and its Affiliates and subcontractors (provided that, with respect to Permitted Contractors or Researchers that<omitted>RevMed entered into a written agreements with prior to the Effective Date, such right of Sanofi shall be to the extent RevMed has the right to permit Sanofi to do so under such written agreements, and provided further, that RevMed shall use Commercially Reasonable Efforts to secure such right for Sanofi where one does not exist).']",Yes
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,['DISTRIBUTION AND DEVELOPMENT AGREEMENT'],"['The price that Sekisui shall pay for the Reagent Kits Products shall be based upon a formula intended to ensure that Sekisui will receive 90% of the total Available Margin for all Products during the first 12 months of this Agreement, 70% of the total Available Margin for all Products during months 13-24 of this Agreement, and 65% of the total Available Margin for all Products thereafter.']",Yes,[],No,['All Products supplied by Qualigen to Sekisui shall have on the date of shipment by Qualigen a shelf life of not less than a minimum three (3) month shelf life for products shipped within the United States and not less than a minimum four (4) month shelf life for products shipped outside the United States (or such longer shelf-life as may be mutually agreed by Qualigen and a Sekisui customer with respect to a specific customer order).'],Yes,[],No,"[""If Qualigen does not pass such audit and the reasons for such failure cannot be remedied within a reasonable period of time or Qualigen fails or elects not to complete any remedial actions reasonably suggested by Sekisui, then Sekisui's sole and exclusive remedy shall be to terminate this Agreement in accordance with the provisions of Section 14 of this Agreement, with such termination to be effective upon receipt of a termination notice by Qualigen sent by Sekisui at any time after the sixty day remedy period described in this Section 5.4 has passed"", 'As part of Sekisui\'s supplier approval program, Sekisui will have the option to perform an audit (applying Sekisui\'s standard supplier criteria for qualification as an ""Approved Supplier"") at Qualigen\'s Carlsbad, California manufacturing facility annually and at each relocated manufacturing facility at which Qualigen will manufacture the Products within sixty (60) days of Qualigen\'s notice to Sekisui of the relocation of such manufacturing facility.', 'Upon reasonable written notice (and no more often than once every 150 days), the auditing Party shall have the right, during normal business hours, to audit the books and records maintained by the audited Party pursuant to this Agreement to ensure the accuracy of all reports and payments made hereunder.', ""Qualigen shall deliver to Sekisui: 7.2.1. as soon as practicable, but in any event within one-hundred eighty (180) days after the end of each fiscal year of Qualigen (i) a balance sheet as of the end of such year, (ii) a statement of income for such year, and (iii) a comparison between (x) the actual amounts as of and for such fiscal year and (y) the comparable amounts for the prior year and as included in Qualigen's budget for such year, with an explanation of any material differences between such amounts, all such financial statements in the form of a compilation prepared by independent public accountants; 7.2.2. as soon as practicable, but in any event within thirty (30) days after the end of each quarter of each fiscal year of Qualigen, an unaudited statement of income for such fiscal quarter, and an unaudited balance sheet as of the end of such fiscal quarter, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments; and (ii) not contain all notes thereto that may be required in accordance with GAAP);<omitted>7.2.3. as soon as practicable, but in any event within thirty (30) days of the end of each month, an unaudited income statement for such month, and an unaudited balance sheet as of the end of such month, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments and (ii) not contain all notes thereto that may be required in accordance with GAAP); 7.2.4. as soon as practicable, but in any event within forty five (45) days after the end of each quarter of each fiscal year of Qualigen, a progress report setting forth Qualigen's business results and progress against the Development Plan; and 7.2.5. as soon as practicable, but in any event no later than sixty (60) days before the end of each fiscal year, a budget and business plan for the next fiscal year, prepared on a monthly basis, including balance sheets and income statements."", 'Any new facility proposed to be used by Qualigen in manufacturing any Product shall be subject to a new and separate audit by Sekisui personnel in accordance with Quality Systems Regulations (QSR), as well as ISO 13485.', 'As scheduled, Sekisui may perform an audit during reasonable business hours to confirm ongoing compliance with the Quality System Regulations and confirm adequate process controls', 'If Qualigen does not pass such audit and the reasons for such failure can be remedied within a reasonable period of time (which shall not be less than sixty (60) days), then Sekisui shall provide Qualigen with a list of proposed remedial action items and a proposed timeframe within which to accomplish such action items', 'Sekisui shall notify Qualigen at least one month in advance of a planned audit and Qualigen shall make reasonable efforts to accommodate the desired schedule.', 'Qualigen shall provide Sekisui with copies of any Product test records requested or Sekisui may audit Qualigen to review the Product test records.']",Yes
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,['Mobile Application Development Agreement'],[],No,[],No,[],No,[],No,[],No
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,['DOMAIN NAME AND CONTENT LICENSE AGREEMENT'],[],No,[],No,[],No,[],No,[],No
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,['JOINT CONTENT LICENSE AGREEMENT'],"['The Royalties to be paid by Zynga to WPT is the percentage of Net Revenue as set forth in Section 5 of the Basic Provisions.', 'Zynga will pay to WPT ten percent (10%) of the cumulative Net Revenue (as defined in Section 3.b. of the Additional Provisions) (""Royalty"") from the WPT-branded Zynga Poker Tournament Mode or other such use of the WPT brand on the Zynga platform.']",Yes,[],No,"['Zynga will pay WPT three million U.S. dollars ($3,000,000) per year according to the following schedule (which the parties may alter upon mutual agreement) (the ""Annual Minimum Guarantee""): a. Within thirty (30) days of executing this Agreement: $1.5M b. July 1, 2018: $1.5M c. January 1, 2019: $1.5M d. July 1, 2019: $1.5M e. January 1, 2020: $1.5M f. July 1, 2020: $1.5M']",Yes,[],No,"[""Zynga shall permit such records to be examined by authorized representatives of WPT, including such independent auditors as WPT may designate, during usual business hours, with advance notice, to verify to the extent necessary the Royalties paid hereunder, and WPT and its representatives shall use reasonable efforts to minimize disruptions to Zynga's business.""]",Yes
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,['CONTENT LICENSING AGREEMENT'],"['plan_b  shall  pay  LICENSOR  a  share of its revenues as set forth in           APPENDIX  2  (""REVENUES"").']",Yes,[],No,[],No,[],No,"[""Such audits           shall  normally  be conducted during normal business hours at plan_b's           premises."", ""LICENSOR  shall  have  the  right  to  use  a  certified  public           accountant  to  inspect and audit all the related records and books of           plan_b to ensure plan_b's compliance with the terms of this Agreement.""]",Yes
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],"['Subscription fee in Territory is to be determined based on market research performed by Distributor with pricing to be agreed upon jointly and in writing Each quarter, Distributor will make royalty payments to IMNTV based on a Structure as follows:\n\n55% of subscriber revenue for the subscription based services broadcasting IMNTV content only, net of telecom percentage provided in accordance with this Agreement.']",Yes,[],No,[],No,"[""During the Term, for the activities described in this Agreement, IMNTV hereby grants Distributor non-exclusive rights and licenses necessary within the Territory to: (a) copy, store digitally, host and stream the Programming; (b) publicly perform, publicly display, electronically transmit, distribute and broadcast the Programming; (c) promote the Programming and use IMNTV Marks for Distributor's promotion of the Programming as activities described in Section 2.4 above; (d) archive the Programming on Distributor's servers; (e) encode, copy, and create continuous Programming excerpts of up to sixty (60) seconds and transmit, publicly perform, distribute, and redistribute such excerpts to""]",Yes,[],No
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,['FORM OF CONTENT LICENSE AGREEMENT'],"['The consideration for the licenses granted by Licensor to Licensee under this Agreement is the issuance of the IP Common Shares as defined in the Securities Purchase Agreement, dated as of November 23, 2015, by and among the Licensee and the Licensor (the ""Share Consideration"").', 'For content listed in Schedule A6 of Schedule A, Licensor will only grant Licensee certain profit participation rights, for certain durations, as detailed and set forth in Schedule A6 of Schedule A.', 'Such Advertising shall be determined by Licensee in its sole discretion and Licensee shall be entitled to retain all revenues resulting from the sale of Advertising.']",Yes,[],No,[],No,[],No,[],No
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],"['In consideration for the license of rights granted hereunder in the Current Content, COMPANY hereby agrees to issue to YGP 16,200 shares of its Series A Convertible Preferred Stock for which YGP will pay COMPANY the sum of $1.00 per share or $16,200 in the aggregate; NCM 3,000 of its Series A Convertible Preferred Stock for which NCM will pay COMPANY the sum of $1.00 per share or $3,000 in the aggregate and TWK 12,000 of its Series A Convertible Preferred Stock for which TWK will pay COMPANY the sum of $1.00 per share or $12,000 in the aggregate.', 'In addition to the foregoing, and subject to the terms and conditions of the applicable content agreement with such Licensor, COMPANY agrees to pay directly to each Licensor from whom CONTENT PROVIDER might obtain Content which CONTENT PROVIDER licenses to COMPANY pursuant hereto a royalty equal to that royalty which CONTENT PROVIDER might be obligated to pay to that Licensor with respect to the use and exploitation of that Content in the manner licensed to and actually used by COMPANY pursuant hereto provided, however, unless the Parties might agree in writing to the contrary, in no event will COMPANY be obligated to pay such Licensor for the use of such Content more than fifty percent (50.0%) of all revenues generated during the Term of this Agreement from banner advertising that appears on Web site pages that display that Content or any portion thereof and with respect to which at least a majority of the content (excluding advertisements) on such pages is composed of the Content (the ""Net Advertising Revenue"").']",Yes,[],No,[],No,[],No,"[""All books and records relative to COMPANY'S obligations to a particular Licensor hereunder shall be maintained and made accessible to that Licensor for inspection at a location in Los Angeles, California for at least twelve (12) months after termination of this Agreement."", ""The Licensors shall have the right, upon reasonable notice, to inspect COMPANY'S books and records and all other documents and material in COMPANY'S possession or control with respect to the Content each has or might license to CONTENT PROVIDER which becomes the subject matter of this Agreement (and only with respect to Content each has or might license to CONTENT PROVIDER which become the subject matter hereof).""]",Yes
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],"['In lieu of PACIFICAP ENTERTAINMENT granting a 10 year Exclusive Content License to THE HENRY FILM AND ENTERTAINMENT CORPORATION, THE HENRY FILM ANDENTERTAINMENT CORPORATION agrees to share 10% of the net revenue from any and all advertising sales, Syndication Fees and Licensing fees generated from all television shows, DVD Magazines, Internet Streaming Video Television Shows, Television Shorts, Radio Shows, Radio Shorts, Cell Phone Video Clips, Caller ID Video Clips, Promotional Commercials, Websites, Streaming Video Commercials, Streaming Video Highlight Shows, 24 Hour Nostalgia Sports Network, DVD Program Package, Television Show Series, stock footage library, and print promotional posters, created and or produced with any content provided by PACIFICAP ENTERTAINMENT.']",Yes,[],No,"['PERFORMANCE: In lieu of PACIFICAP ENTERTAINMENT granting a 10 year Exclusive Content License to THE HENRY FILM AND ENTERTAINMENT CORPORATION, THE HENRY FILM AND ENTERTAINMENT CORPORATION agrees to share a minimum of $50,000.00 annually for each year of this Agreement.', 'In the event of THE HENRY FILM AND ENTERTAINMENT CORPORATION, not fulfilling this minimum PERFORMANCE, PACIFICAP ENTERTAINMENT may cancel this Agreement']",Yes,[],No,[],No
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,['Program Content License Agreement'],[],No,[],No,[],No,[],No,[],No
